"NombreCat","CodTip","Cantidad","Total"
"MANTEQUILLAS Y MARGARINAS                         ",201705,56,359.4752
"CAFE                                              ",201705,13,397.65
"COMIDAS INSTANTANEAS                              ",201705,1,20.21
"PAÑUELOS                                          ",201705,3,335.320001
"AGUA MINERAL                                      ",201705,30,268.879999
"HELADOS                                           ",201705,5,145.39
"COCINA                                            ",201705,6,18.3608
"GOLOSINAS - MARSHMALLOWS                          ",201705,1,39.990001
"ACEITES                                           ",201705,233,18387.192
"GOLOSINAS - CARAMELOS                             ",201705,9,303.340199
"GOLOSINAS - GALLETAS                              ",201705,24,655.203799
"ARTICULOS DE REPOSTERIA                           ",201705,1,155.24
"JUGOS                                             ",201705,3,38.6804
"CIGARROS                                          ",201705,3,334.96
"GELATINAS                                         ",201705,2,282.9286
"POSTRES VARIOS                                    ",201705,41,111.982
"INFUSIONES                                        ",201705,15,894.24
"DETERGENTES                                       ",201705,11,1085.2
"COCOAS Y CHOCOLATES                               ",201705,3,308.26
"ARROZ A GRANEL                                    ",201705,30,6
"GOLOSINAS - CHOCOLATES                            ",201705,12,198.4
"CERVEZAS                                          ",201705,1,76.65
"FIDEOS Y PASTAS                                   ",201705,800,8315.98
"REHIDRATANTES                                     ",201705,3,45.0052
"LEJIAS                                            ",201705,2,22.54
"PANES Y KEKES                                     ",201705,215,543.909602
"BEBIDAS GASEOSAS                                  ",201705,72,1319.194599
"JABON DE TOCADOR                                  ",201705,6,32.64
"DESODORANTES                                      ",201705,12,119.28
"GOLOSINAS - GALLETAS                              ",201706,9,285.42
"GOLOSINAS - CARAMELOS                             ",201706,2,17.641
"YOGURT                                            ",201706,24,219.5464
